Card number,Pin
6006493519249906144,9181
6006493519249906151,6558
6006493519249906169,8341
6006493519249906177,9126
6006493519249906185,8456
6006493519249906193,2870
6006493519249906201,7846
6006493519249906219,1074
6006493519249906227,7076
6006493519249906235,6773
6006493519249906243,1386
6006493519249906250,8758
6006493519249906268,8295
6006493519249906276,2164
6006493519249906284,8985
6006493519249906292,0154
6006493519249906300,4794
6006493519249906318,8380
6006493519249906326,1335
6006493519249906334,4790
